,team1,team2,games
0,Alabama,Arizona,0
1,Alabama,Arizona State,0
2,Alabama,Arkansas,34
3,Alabama,Auburn,82
4,Alabama,Baylor,2
5,Alabama,Boston College,4
6,Alabama,BYU,1
7,Alabama,California,2
8,Alabama,Cincinnati,6
9,Alabama,Clemson,18
10,Alabama,Colorado,3
11,Alabama,Duke,5
12,Alabama,Florida,43
13,Alabama,Florida State,5
14,Alabama,Georgia,71
15,Alabama,Georgia Tech,52
16,Alabama,Houston,10
17,Alabama,Illinois,1
18,Alabama,Indiana,0
19,Alabama,Iowa,0
20,Alabama,Iowa State,1
21,Alabama,Kansas,0
22,Alabama,Kansas State,1
23,Alabama,Kentucky,42
24,Alabama,Louisville,4
25,Alabama,LSU,87
26,Alabama,Maryland,3
27,Alabama,Miami,18
28,Alabama,Michigan,6
29,Alabama,Michigan State,2
30,Alabama,Minnesota,1
31,Alabama,Mississippi State,106
32,Alabama,Missouri,7
33,Alabama,NC State,5
34,Alabama,Nebraska,5
35,Alabama,North Carolina,1
36,Alabama,Northwestern,0
37,Alabama,Ohio State,5
38,Alabama,Oklahoma,6
39,Alabama,Oklahoma State,1
40,Alabama,Ole Miss,67
41,Alabama,Oregon,0
42,Alabama,Oregon State,0
43,Alabama,Penn State,15
44,Alabama,Pittsburgh,0
45,Alabama,Purdue,0
46,Alabama,Rutgers,2
47,Alabama,South Carolina,16
48,Alabama,Stanford,2
49,Alabama,Syracuse,2
50,Alabama,TCU,5
51,Alabama,Tennessee,105
52,Alabama,Texas,11
53,Alabama,Texas A&M,16
54,Alabama,Texas Tech,1
55,Alabama,UCF,1
56,Alabama,UCLA,3
57,Alabama,USC,8
58,Alabama,Utah,1
59,Alabama,Vanderbilt,85
60,Alabama,Virginia,0
61,Alabama,Virginia Tech,13
62,Alabama,Wake Forest,0
63,Alabama,Washington,5
64,Alabama,Washington State,1
65,Alabama,West Virginia,1
66,Alabama,Wisconsin,2
67,Alabama,Notre Dame,8
68,Alabama,Connecticut,0
69,Alabama,SMU,2
70,Alabama,Tulane,38
71,Arizona,Arizona State,87
72,Arizona,Arkansas,0
73,Arizona,Auburn,3
74,Arizona,Baylor,1
75,Arizona,Boston College,1
76,Arizona,BYU,25
77,Arizona,California,36
78,Arizona,Cincinnati,0
79,Arizona,Clemson,0
80,Arizona,Colorado,26
81,Arizona,Duke,0
82,Arizona,Florida,0
83,Arizona,Florida State,0
84,Arizona,Georgia,1
85,Arizona,Georgia Tech,2
86,Arizona,Houston,4
87,Arizona,Illinois,4
88,Arizona,Indiana,4
89,Arizona,Iowa,13
90,Arizona,Iowa State,6
91,Arizona,Kansas,6
92,Arizona,Kansas State,7
93,Arizona,Kentucky,0
94,Arizona,Louisville,0
95,Arizona,LSU,3
96,Arizona,Maryland,0
97,Arizona,Miami,3
98,Arizona,Michigan,2
99,Arizona,Michigan State,3
100,Arizona,Minnesota,1
101,Arizona,Mississippi State,2
102,Arizona,Missouri,3
103,Arizona,NC State,1
104,Arizona,Nebraska,3
105,Arizona,North Carolina,1
106,Arizona,Northwestern,2
107,Arizona,Ohio State,4
108,Arizona,Oklahoma,3
109,Arizona,Oklahoma State,9
110,Arizona,Ole Miss,0
111,Arizona,Oregon,46
112,Arizona,Oregon State,42
113,Arizona,Penn State,1
114,Arizona,Pittsburgh,1
115,Arizona,Purdue,3
116,Arizona,Rutgers,0
117,Arizona,South Carolina,0
118,Arizona,Stanford,32
119,Arizona,Syracuse,2
120,Arizona,TCU,2
121,Arizona,Tennessee,0
122,Arizona,Texas,1
123,Arizona,Texas A&M,1
124,Arizona,Texas Tech,33
125,Arizona,UCF,0
126,Arizona,UCLA,47
127,Arizona,USC,45
128,Arizona,Utah,48
129,Arizona,Vanderbilt,0
130,Arizona,Virginia,0
131,Arizona,Virginia Tech,0
132,Arizona,Wake Forest,0
133,Arizona,Washington,38
134,Arizona,Washington State,47
135,Arizona,West Virginia,0
136,Arizona,Wisconsin,2
137,Arizona,Notre Dame,3
138,Arizona,Connecticut,0
139,Arizona,SMU,2
140,Arizona,Tulane,0
141,Arizona State,Arkansas,2
142,Arizona State,Auburn,0
143,Arizona State,Baylor,1
144,Arizona State,Boston College,1
145,Arizona State,BYU,28
146,Arizona State,California,36
147,Arizona State,Cincinnati,2
148,Arizona State,Clemson,0
149,Arizona State,Colorado,14
150,Arizona State,Duke,1
151,Arizona State,Florida,0
152,Arizona State,Florida State,5
153,Arizona State,Georgia,2
154,Arizona State,Georgia Tech,0
155,Arizona State,Houston,9
156,Arizona State,Illinois,4
157,Arizona State,Indiana,0
158,Arizona State,Iowa,3
159,Arizona State,Iowa State,0
160,Arizona State,Kansas,0
161,Arizona State,Kansas State,6
162,Arizona State,Kentucky,0
163,Arizona State,Louisville,3
164,Arizona State,LSU,1
165,Arizona State,Maryland,0
166,Arizona State,Miami,2
167,Arizona State,Michigan,1
168,Arizona State,Michigan State,4
169,Arizona State,Minnesota,1
170,Arizona State,Mississippi State,0
171,Arizona State,Missouri,7
172,Arizona State,NC State,3
173,Arizona State,Nebraska,8
174,Arizona State,North Carolina,3
175,Arizona State,Northwestern,4
176,Arizona State,Ohio State,2
177,Arizona State,Oklahoma,1
178,Arizona State,Oklahoma State,5
179,Arizona State,Ole Miss,0
180,Arizona State,Oregon,39
181,Arizona State,Oregon State,47
182,Arizona State,Penn State,1
183,Arizona State,Pittsburgh,1
184,Arizona State,Purdue,1
185,Arizona State,Rutgers,2
186,Arizona State,South Carolina,0
187,Arizona State,Stanford,34
188,Arizona State,Syracuse,0
189,Arizona State,TCU,2
190,Arizona State,Tennessee,0
191,Arizona State,Texas,1
192,Arizona State,Texas A&M,1
193,Arizona State,Texas Tech,4
194,Arizona State,UCF,1
195,Arizona State,UCLA,40
196,Arizona State,USC,40
197,Arizona State,Utah,34
198,Arizona State,Vanderbilt,0
199,Arizona State,Virginia,0
200,Arizona State,Virginia Tech,0
201,Arizona State,Wake Forest,1
202,Arizona State,Washington,39
203,Arizona State,Washington State,47
204,Arizona State,West Virginia,2
205,Arizona State,Wisconsin,5
206,Arizona State,Notre Dame,4
207,Arizona State,Connecticut,0
208,Arizona State,SMU,1
209,Arizona State,Tulane,0
210,Arkansas,Auburn,33
